['BSW-LP', ['LPKX', 'LPKB'], ['0x15B05286Eb1756434dF34439aE456885462407C6', '0x659bEcF35503E91baA27B8427C45A31E5B38FCD1']]
['BSW-LP', ['LPKX', 'LPK'], ['0x15B05286Eb1756434dF34439aE456885462407C6', '0x9B71b5511998e0798625b8Fa74e86D8192DE78C1']]
['BSW-LP', ['WATCH', 'WBNB'], ['0x7A9f28EB62C791422Aa23CeAE1dA9C847cBeC9b0', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['WBNB', 'BIN'], ['0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xe56842Ed550Ff2794F010738554db45E60730371']]
['BSW-LP', ['RPS', 'WBNB'], ['0x267022751E06d97B9eE4e5f26cc1023670BDB349', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['LIQ', 'BUSD'], ['0xc7981767f644C7F8e483DAbDc413e8a371b83079', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']]
['BSW-LP', ['WBNB', 'CRACE'], ['0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xFBb4F2f342c6DaaB63Ab85b0226716C4D1e26F36']]
['BSW-LP', ['AUTO', 'WBNB'], ['0xa184088a740c695E156F91f5cC086a06bb78b827', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['BFG', 'TRTO'], ['0xBb46693eBbEa1aC2070E59B4D043b47e2e095f86', '0xfcf93a7Ce9B1f5b80E7b1e630752D7045A2Be985']]
['BSW-LP', ['SHIB', 'TRTO'], ['0x2859e4544C4bB03966803b044A93563Bd2D0DD4D', '0xfcf93a7Ce9B1f5b80E7b1e630752D7045A2Be985']]
['BSW-LP', ['USDT', 'OSWAP'], ['0x55d398326f99059fF775485246999027B3197955', '0xb32aC3C79A94aC1eb258f3C830bBDbc676483c93']]
['BSW-LP', ['DENCH', 'BUSD'], ['0x62aA52175Ff697989B214b298cEF5053B0bFdEF6', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']]
['BSW-LP', ['LZ', 'WBNB'], ['0x3B78458981eB7260d1f781cb8be2CaAC7027DbE2', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['XPS', 'BUSD'], ['0x4f745c0c7da552a348C384dA1a5BaEb28f2C607C', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']]
['BSW-LP', ['XPS', 'BSW'], ['0x4f745c0c7da552a348C384dA1a5BaEb28f2C607C', '0x965F527D9159dCe6288a2219DB51fc6Eef120dD1']]
['BSW-LP', ['ATL', 'BUSD'], ['0x1fD991fb6c3102873ba68a4e6e6a87B3a5c10271', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']]
['BSW-LP', ['LZP', 'WBNB'], ['0x4211959585C8F18B06dab8B5bB0Bc825cad4c1De', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['ALT', 'BET'], ['0x2A4E4AB99413F35180Af2eaC1770901dc83e7Cb2', '0xe14A5ee9C281057067459b2AcD66f747cf1D4d2F']]
['BSW-LP', ['CPAN', 'WBNB'], ['0x04260673729c5F2b9894A467736f3D85F8d34fC8', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['GALA', 'WBNB'], ['0x7dDEE176F665cD201F93eEDE625770E2fD911990', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['BUSD', 'EURO'], ['0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56', '0xFfD9cdd12876Db77C233888133fb09d49aC71aC2']]
['BSW-LP', ['XRP', 'GXR-D'], ['0x1D2F0da169ceB9fC7B3144628dB156f3F6c60dBE', '0x44A6182160711464D0E400a50D47A1282778E11d']]
