['Cake-LP', 'BSW-LP', 'WATCH', 'WBNB', '0x7A9f28EB62C791422Aa23CeAE1dA9C847cBeC9b0', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'WBNB', 'BIN', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xe56842Ed550Ff2794F010738554db45E60730371']
['Cake-LP', 'BSW-LP', 'RPS', 'WBNB', '0x267022751E06d97B9eE4e5f26cc1023670BDB349', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'WBNB', 'CRACE', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xFBb4F2f342c6DaaB63Ab85b0226716C4D1e26F36']
['Cake-LP', 'BSW-LP', 'AUTO', 'WBNB', '0xa184088a740c695E156F91f5cC086a06bb78b827', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'DENCH', 'BUSD', '0x62aA52175Ff697989B214b298cEF5053B0bFdEF6', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']
['Cake-LP', 'BSW-LP', 'LZ', 'WBNB', '0x3B78458981eB7260d1f781cb8be2CaAC7027DbE2', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'ATL', 'BUSD', '0x1fD991fb6c3102873ba68a4e6e6a87B3a5c10271', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']
['Cake-LP', 'BSW-LP', 'ALT', 'BET', '0x2A4E4AB99413F35180Af2eaC1770901dc83e7Cb2', '0xe14A5ee9C281057067459b2AcD66f747cf1D4d2F']
['Cake-LP', 'BSW-LP', 'CPAN', 'WBNB', '0x04260673729c5F2b9894A467736f3D85F8d34fC8', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'GALA', 'WBNB', '0x7dDEE176F665cD201F93eEDE625770E2fD911990', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'LOA', 'BUSD', '0x94b69263FCA20119Ae817b6f783Fc0F13B02ad50', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']
['Cake-LP', 'BSW-LP', 'CGAR', 'WBNB', '0x432C7cf1dE2b97a013f1130f199ed9d1363215BA', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'EOS', 'WBNB', '0x56b6fB708fC5732DEC1Afc8D8556423A2EDcCbD6', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'ATOM', 'WBNB', '0x0Eb3a705fc54725037CC9e008bDede697f62F335', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'BUSD', 'DONE', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56', '0xea88052a4576A04dc8EE9b81f05d51EC8C69ca33']
['Cake-LP', 'BLP', 'WBNB', 'BUSD', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']
